brand_name,snack_name,snack_url,snack_taste_test,snack_smell_test,amazon_link
Bachman (26) ,Bachman Nutzels Sourdough Bites ,https://www.taquitos.net/snacks.php?snack_code=172,Taste test: These are good pretzel bites.,Smell test: Sourdough pretzel smell ,"https://www.amazon.com/s/ref=as_li_ss_tl?fst=as:off&rh=n:16310101,n:!16310211,n:16322721,n:16323081&bbn=16322721&ie=UTF8&qid=1539475383&rnid=16322721&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=956bb4d7f9adb182384b1b2e11c85ea6"
Bachman (26) ,Bachman Original Tortilla Chips ,https://www.taquitos.net/snacks.php?snack_code=167,"Taste test: These are your standard, round, salty tortilla chips.",Smell test: Smells like corn chips ,"https://www.amazon.com/s/ref=as_li_ss_tl?k=tortilla+chips&i=grocery&crid=2GUM1W0450LIW&sprefix=tortilla+,grocery,143&ref=nb_sb_ss_i_1_9&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=013b072e8508d76e738a0614086030bb"
Bachman (26) ,Bachman Party Mix ,https://www.taquitos.net/snacks.php?snack_code=1640,"Taste test: This is a very cheesy, salty and tasty party mix consisting of pretzel sticks, small knotted pretzels, Crunchy Jax, barbecue-flavored corn chips and nacho cheese tortilla chips.",Smell test: Good cheesy smell. ,"https://www.amazon.com/s/ref=as_li_ss_tl?fst=as:off&rh=n:16310101,n:!16310211,n:16322721,n:16323081&bbn=16322721&ie=UTF8&qid=1539475383&rnid=16322721&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=956bb4d7f9adb182384b1b2e11c85ea6"
Bachman (26) ,Bachman Pita Pretzel Squares ,https://www.taquitos.net/pretzels/Bachman_Pita_Pretzel_Squares,"Taste test: These Pita Pretzel ""Squares"" were actually rectangular, measuring an inch in one dimension and a little over an inch in the other.",Smell test: Similar to pretzels. ,"https://www.amazon.com/s/ref=as_li_ss_tl?fst=as:off&rh=n:16310101,n:!16310211,n:16322721,n:16323081&bbn=16322721&ie=UTF8&qid=1539475383&rnid=16322721&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=956bb4d7f9adb182384b1b2e11c85ea6"
Bachman (26) ,Bachman Pretzel Stix Pretzel Snack ,https://www.taquitos.net/snacks.php?snack_code=1728,"Taste test: These are your standard thin pretzel sticks, with a good crispness and a medium amount of salt.",Smell test: Very weak pretzels smell. ,"https://www.amazon.com/s/ref=as_li_ss_tl?fst=as:off&rh=n:16310101,n:!16310211,n:16322721,n:16323081&bbn=16322721&ie=UTF8&qid=1539475383&rnid=16322721&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=956bb4d7f9adb182384b1b2e11c85ea6"
Bachman (26) ,Bachman the Puzzle Pretzel ,https://www.taquitos.net/pretzels/Bachman_Puzzle_Pretzel,"Taste test: These pretzels were shaped kind of like puzzle pieces, with one flat side, one side opposite the flat side with one nub sticking out, and two sides with two nubs each.",Smell test: The usual pretzels smell. ,"https://www.amazon.com/s/ref=as_li_ss_tl?fst=as:off&rh=n:16310101,n:!16310211,n:16322721,n:16323081&bbn=16322721&ie=UTF8&qid=1539475383&rnid=16322721&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=956bb4d7f9adb182384b1b2e11c85ea6"
Bachman (26) ,Bachman Thin'n Right Baked Pretzels ,https://www.taquitos.net/pretzels/Bachman-Thin-n-Right,"Taste test: These large knotted pretzels were indeed quite thin, and the shapes very nearly resembled hearts, with unusually pointy bottoms for knotted pretzels.",Smell test: Strong pretzel smell. Good. ,"https://www.amazon.com/s/ref=as_li_ss_tl?fst=as:off&rh=n:16310101,n:!16310211,n:16322721,n:16323081&bbn=16322721&ie=UTF8&qid=1539475383&rnid=16322721&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=956bb4d7f9adb182384b1b2e11c85ea6"
Bachman (26) ,Chipitos Cheddar & Onion Tortilla Chips ,https://www.taquitos.net/chips/ChipitosCheddarOnionTortilla,"Taste test: These round tortilla chips were thick and crunchy, with nearly all of the chips unbroken, though oddly, some of the had some small holes in them.","Smell test: Not much. Maybe a little tortilla chips smell, but neither cheddar nor onion. ","https://www.amazon.com/s/ref=as_li_ss_tl?k=tortilla+chips&i=grocery&crid=2GUM1W0450LIW&sprefix=tortilla+,grocery,143&ref=nb_sb_ss_i_1_9&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=013b072e8508d76e738a0614086030bb"
Bachman (26) ,Chipitos Salsa Tortilla Chips with Black Bean ,https://www.taquitos.net/snacks.php?snack_code=652,Taste test: These tortilla chips were huge.,"Smell test: Nice, spicy tortilla chips smell. Smells like an entree at a Mexican restaurant. ","https://www.amazon.com/s/ref=as_li_ss_tl?k=tortilla+chips&i=grocery&crid=2GUM1W0450LIW&sprefix=tortilla+,grocery,143&ref=nb_sb_ss_i_1_9&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=013b072e8508d76e738a0614086030bb"
Bachman (26) ,Chipitos Salt & Pepper Tortilla Chips ,https://www.taquitos.net/chips/ChipitosSaltPepperTortilla,"Taste test: These round tortilla chips were crisp but fairly brittle, so there were lots of broken pieces in the bag.",Smell test: Just a regular tortilla chips smell. Can't smell any black pepper. ,"https://www.amazon.com/s/ref=as_li_ss_tl?k=tortilla+chips&i=grocery&crid=2GUM1W0450LIW&sprefix=tortilla+,grocery,143&ref=nb_sb_ss_i_1_9&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=013b072e8508d76e738a0614086030bb"
